card_token,card_produced_time,card_owner_id,is_active,profile_address_country,age_years,email_domain,card_delivery_country,card_delivery_city
ed39695c-a026-42ce-865d-8062a56ec18b,2017-10-03 18:01:53,1505,TRUE,EE,30,transferwise.com,EE,Tallinn
3dcf0adc-c5eb-45b7-8a2c-3de3b68c3a6c,2017-10-19 21:27:01,1886894,TRUE,IT,29,gmail.com,EE,Tallinn
99b81876-0b36-48db-9b5b-1fc2fe6cef86,2017-10-20 6:30:55,112168,TRUE,EE,32,gmail.com,EE,Järveküla
3a971774-4fbc-4b2f-b28b-4b7f52dadc91,2017-10-20 6:40:34,3454190,TRUE,EE,24,transferwise.com,EE,Tallinn
83cd69a1-64e5-4526-aa7d-3e423ccedfe9,2017-10-20 6:49:58,273062,TRUE,EE,34,transferwise.com,EE,Tallinn
e2eb658c-1cb5-4d6f-8f0e-d21669afcbfe,2017-10-20 8:06:19,1192097,TRUE,EE,39,transferwise.com,EE,Tallinn
7752e419-83e1-42ef-a255-42f4635af7f8,2017-10-20 8:07:36,225344,TRUE,EE,29,transferwise.com,EE,Tallinn
2547445e-3f03-42fd-bc82-111d072146ff,2017-10-20 9:04:03,1052045,TRUE,EE,31,transferwise.com,EE,Tallinn
c6bebd92-5a96-49a5-b986-4b6299206706,2017-10-20 12:28:03,323228,TRUE,GB,36,gmail.com,GB,London
e6af604f-973f-416d-86c9-5521425d2de4,2017-10-20 13:35:37,145502,TRUE,EE,29,transferwise.com,EE,Tallinn
d94efe95-1de1-4dce-9634-7bae98176327,2017-10-21 10:16:29,2375046,TRUE,GB,28,hotmail.com,GB,London
6ab8559d-98a4-402d-9409-c3049dcee75d,2017-10-22 17:13:09,3304286,TRUE,EE,32,transferwise.com,EE,Tallinn
521a0f18-bbe9-45b2-b626-875185fb6826,2017-10-23 8:18:42,265319,TRUE,EE,30,gmail.com,EE,Tallinn
cf273339-9bf1-427d-85aa-9a1483c3d319,2017-10-23 8:39:58,3236279,TRUE,GB,26,gmail.com,GB,London
9b13c71c-502a-4f37-b423-677e375e1f83,2017-10-24 6:54:16,2555409,TRUE,HU,27,gmail.com,HU,Budapest
94166d49-01ab-4aa9-9d60-187b80a85af3,2017-10-25 15:19:47,517636,TRUE,EE,37,transferwise.com,EE,Tallinn
13d4c97f-0818-4ec5-9802-84a9f1f5ba43,2017-10-25 15:29:03,3537234,TRUE,ES,41,gmail.com,ES,Lekeitio
5ef9f55f-3a84-466e-bd68-1648d6e3dcc5,2017-10-26 2:35:13,3692288,TRUE,GB,28,hotmail.com,GB,London
ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,2017-10-26 9:02:34,3012443,TRUE,EE,35,gmail.com,EE,tallinn
5ada012e-7c5d-4e2f-96a5-86418f01aacb,2017-10-26 12:23:31,3119292,TRUE,EE,28,transferwise.com,EE,Tallinn
