id,transaction_time,card_token,merchant_address_country,cost_region,transaction_type,transaction_cost_type,transaction_personal_details_input,transaction_card_ownership_proof_method,state,amount_currency,amount_value,billing_amount_currency,billing_amount_value,interchange_currency,inter_change_fee,merchant_name,category
11472,2018-01-01 0:37:16,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,4.0,EUR,4.0,EUR,0.01,GRAND CAROUSEL.POHJA P,BarsCocktailLoungesDiscothe
11480,2018-01-01 2:16:29,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,CASH_WITHDRAWAL,ATM,CHIP,PIN,SUCCESS,EUR,40.0,EUR,40.0,EUR,-0.55,HAN000025 SIPELGA 1,ZMemberFinancialInstitut
11490,2018-01-01 11:57:05,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,40.0,EUR,40.0,EUR,0.08,ALEXELA TALLINN SOLE T,FuelDispenserAutomated
11492,2018-01-01 12:13:00,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,2.5,EUR,2.5,EUR,0.01,CIRCLE K SUTISTE,ServiceStationsWithOrWithou
11494,2018-01-01 12:40:25,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,19.35,EUR,19.35,EUR,0.04,TOA,EatingPlacesRestaurants
11519,2018-01-01 18:04:24,9b13c71c-502a-4f37-b423-677e375e1f83,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,GBP,3.3,GBP,3.3,GBP,0.01,SAINSBURYS SACAT 4547,GroceryStoresSupermarkets
11525,2018-01-01 19:41:40,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,IE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,EUR,10.99,EUR,10.99,EUR,0.02,Udemy,ComputerProgrammingDataProce
11537,2018-01-01 23:13:40,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,2.5,EUR,2.5,EUR,0.01,MCDONALDS 9059239 Must,EatingPlacesRestaurants
11538,2018-01-01 23:17:33,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,1.19,EUR,1.19,EUR,0.0,CIRCLE K MUSTAMAE,ServiceStationsWithOrWithou
11548,2018-01-02 6:42:44,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,1.8,EUR,1.8,EUR,0.0,VEERENNI CAFE .VEERENN,FastFoodRestaurants
11552,2018-01-02 7:28:05,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,2.56,EUR,2.56,EUR,0.01,ICA AB/TATARI RIMI,GroceryStoresSupermarkets
11557,2018-01-02 7:53:27,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,EUR,4.3,EUR,4.3,EUR,0.01,Taxify 18.01.02 0740,Limousines
11581,2018-01-02 11:02:58,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,7.11,EUR,7.11,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants
11586,2018-01-02 11:13:21,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,4.68,EUR,4.68,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants
11597,2018-01-02 11:43:52,ed39695c-a026-42ce-865d-8062a56ec18b,NL,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,UNKNOWN,SUCCESS,EUR,2.71,EUR,2.71,EUR,0.01,UBER BV,Limousines
11599,2018-01-02 12:14:37,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,50.0,EUR,50.0,EUR,0.1,BREKETRAVI,DentistsOrthodontists
11602,2018-01-02 12:27:20,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,EUR,2.8,EUR,2.8,EUR,0.01,Taxify 18.01.02 1216,Limousines
11625,2018-01-02 15:02:14,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,EUR,3.0,EUR,3.0,EUR,0.01,Taxify 18.01.02 1442,Limousines
11627,2018-01-02 15:07:31,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,1.5,EUR,1.5,EUR,0.0,MYFITNESS POST.NARVA M,AthleticFieldsCommercialSpor
11634,2018-01-02 16:06:55,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,12.72,EUR,12.72,EUR,0.03,ICA AB/TAMMSAARE RIMI,MiscellaneousFoodStoresConven
11635,2018-01-02 16:07:13,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,0.99,EUR,0.99,EUR,0.0,ICA AB/TAMMSAARE RIMI,MiscellaneousFoodStoresConven
11638,2018-01-02 17:01:45,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,3.0,EUR,3.0,EUR,0.01,RETROTEEK,BarsCocktailLoungesDiscothe
