id,transaction_time,card_token,merchant_address_country,cost_region,transaction_type,transaction_cost_type,transaction_personal_details_input,transaction_card_ownership_proof_method,state,amount_currency,amount_value,billing_amount_currency,billing_amount_value,interchange_currency,inter_change_fee,merchant_name,category,conversion_revenue_gbp,total_revenue_gbp,total_cost_gbp,profit_gbp
11472,2018-01-01 0:37:16,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,4.0,EUR,4.0,EUR,0.01,GRAND CAROUSEL.POHJA P,BarsCocktailLoungesDiscothe,0.0,0.0087951,0.05894458799999999,-0.05014948799999999
11480,2018-01-01 2:16:29,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,CASH_WITHDRAWAL,ATM,CHIP,PIN,SUCCESS,EUR,40.0,EUR,40.0,EUR,-0.55,HAN000025 SIPELGA 1,ZMemberFinancialInstitut,0.0,-0.48373050000000006,0.54197148,-1.02570198
11490,2018-01-01 11:57:05,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,40.0,EUR,40.0,EUR,0.08,ALEXELA TALLINN SOLE T,FuelDispenserAutomated,0.0,0.0703608,0.04944588,0.020914920000000004
11492,2018-01-01 12:13:00,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,2.5,EUR,2.5,EUR,0.01,CIRCLE K SUTISTE,ServiceStationsWithOrWithou,0.0,0.0087951,0.05934036749999999,-0.05054526749999999
11494,2018-01-01 12:40:25,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,19.35,EUR,19.35,EUR,0.04,TOA,EatingPlacesRestaurants,0.0,0.0351804,0.054894444449999996,-0.019714044449999996
11519,2018-01-01 18:04:24,9b13c71c-502a-4f37-b423-677e375e1f83,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,GBP,3.3,GBP,3.3,GBP,0.01,SAINSBURYS SACAT 4547,GroceryStoresSupermarkets,0.0,0.01,0.0528,-0.0428
11525,2018-01-01 19:41:40,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,IE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,EUR,10.99,EUR,10.99,EUR,0.02,Udemy,ComputerProgrammingDataProce,0.0,0.0175902,0.05710025552999999,-0.03951005552999999
11537,2018-01-01 23:13:40,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,2.5,EUR,2.5,EUR,0.01,MCDONALDS 9059239 Must,EatingPlacesRestaurants,0.0,0.0087951,0.05934036749999999,-0.05054526749999999
11538,2018-01-01 23:17:33,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,1.19,EUR,1.19,EUR,0.0,CIRCLE K MUSTAMAE,ServiceStationsWithOrWithou,0.0,0.0,0.05968601493000001,-0.05968601493000001
11548,2018-01-02 6:42:44,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,1.8,EUR,1.8,EUR,0.0,VEERENNI CAFE .VEERENN,FastFoodRestaurants,0.0,0.0,0.0595250646,-0.0595250646
11552,2018-01-02 7:28:05,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,2.56,EUR,2.56,EUR,0.01,ICA AB/TATARI RIMI,GroceryStoresSupermarkets,0.0,0.0087951,0.05932453632,-0.05052943632
11557,2018-01-02 7:53:27,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,EUR,4.3,EUR,4.3,EUR,0.01,Taxify 18.01.02 0740,Limousines,0.0,0.0087951,0.0588654321,-0.050070332099999997
11581,2018-01-02 11:02:58,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,7.11,EUR,7.11,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants,0.0,0.0087951,0.05812400516999999,-0.04932890516999999
11586,2018-01-02 11:13:21,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,4.68,EUR,4.68,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants,0.0,0.0087951,0.05876516795999998,-0.04997006795999998
11597,2018-01-02 11:43:52,ed39695c-a026-42ce-865d-8062a56ec18b,NL,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,UNKNOWN,SUCCESS,EUR,2.71,EUR,2.71,EUR,0.01,UBER BV,Limousines,0.0,0.0087951,0.05928495836999999,-0.05048985836999999
11599,2018-01-02 12:14:37,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,50.0,EUR,50.0,EUR,0.1,BREKETRAVI,DentistsOrthodontists,0.0,0.087951,0.046807350000000025,0.041143649999999976
